GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2009,y2010,y2011
"Population","Share","Children of Immigrants, Share",0,"Akron, OH",10420,.06829584,.06865485,.07461588
"Family_Structure","tPar","In two-parent families",0,"Akron, OH",10420,.8611304,.87748637,.93052431
"Family_Structure","twokid","Two children in famiy",0,"Akron, OH",10420,.38652039,.38934178,.35434331
"English_Proficiency","engPro","Who are English Proficient",0,"Akron, OH",10420,.95539846,.91203129,.88383779
"Education","lTHS","With parents who have less than a high school degree",0,"Akron, OH",10420,.05309448,.13974938,.19155563
"Country_of_Origin_of_Parents","Africa","Africa",0,"Akron, OH",10420,.01726612,.05888107,.04295726
"Population","perChange","Percentage Change in the Number of Children of Immigrants",0,"Akron, OH",10420,,0,.09090909
"Country_of_Origin_of_Parents","centralAmerica","Other Central America & Spanish Caribbean",0,"Akron, OH",10420,.02837569,.00880421,.00817616
"Country_of_Origin_of_Parents","eAsia","East Asia & Pacific",0,"Akron, OH",10420,.17599407,.17501281,.14946358
"Family_Structure","fourkid","More than four children in family",0,"Akron, OH",10420,.10077304,.10998276,.01674165
"English_Proficiency","linIso","Who live in Linguistically Isolated Households",0,"Akron, OH",10420,.12817664,.1822332,.29131338
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Akron, OH",10420,.73105587,.70466297,.6832497
"Family_Structure","threekid","Three children in family",0,"Akron, OH",10420,.31514142,.31979317,.46162831
"Citizenship","notCit","Who are not citizens",0,"Akron, OH",10420,.08142388,.14790143,.16867105
"English_Proficiency","limEng","With Limited English Proficiency",0,"Akron, OH",10420,.04460154,.08796871,.11616221
"English_Proficiency","noeppars","No English Proficient Parents",0,"Akron, OH",10420,.21534046,.24134718,.33794774
"Family_Structure","sPar","In single parent families",0,"Akron, OH",10420,.1388696,.12251363,.06947569
"Country_of_Origin_of_Parents","midEast","The Middle East & South Asia",0,"Akron, OH",10420,.29074666,.2865794,.38138086
"Poverty_Income_and_Benefit_Receipt","work","Working Family",0,"Akron, OH",10420,.90302273,.86490893,.91590241
"English_Proficiency","eppars","English Proficient Parents",0,"Akron, OH",10420,.60922094,.50989891,.50739747
