GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2009,y2010,y2011
Education,age0_3,Age 0 to 3,0,"Akron, OH",10420,0.07410202,0.06379794,0.07877525
Education,age0_3,Age 0 to 3,0,"Albany-Schenectady-Troy, NY",10580,0.109055,0.15264183,0.15726315
Education,age0_3,Age 0 to 3,0,"Albuquerque, NM",10740,0.20694637,0.20546687,0.19184151
Education,age0_3,Age 0 to 3,0,"Allentown-Bethlehem-Easton, PA-NJ",10900,0.14333649,0.15958138,0.17013889
Education,age0_3,Age 0 to 3,0,"Atlanta-Sandy Springs-Marietta, GA",12060,0.28208813,0.28097486,0.26552194
Education,age0_3,Age 0 to 3,0,"Augusta-Richmond County, GA-SC",12260,0.05638909,0.06889794,0.0816865
Education,age0_3,Age 0 to 3,0,"Austin-Round Rock, TX",12420,0.3178872,0.32091039,0.31025627
Education,age0_3,Age 0 to 3,0,"Bakersfield, CA",12540,0.39478779,0.3887082,0.39600791
Education,age0_3,Age 0 to 3,0,"Baltimore-Towson, MD",12580,0.17164799,0.18199947,0.18097094
Education,age0_3,Age 0 to 3,0,"Baton Rouge, LA",12940,0.04853132,0.05505941,0.05754388
Education,age0_3,Age 0 to 3,0,"Birmingham-Hoover, AL",13820,0.11661136,0.11919992,0.11357771
Education,age0_3,Age 0 to 3,0,"Boise City-Nampa, ID",14260,0.17455334,0.150448,0.12481997
Education,age0_3,Age 0 to 3,0,"Boston-Cambridge-Quincy, MA-NH",14460,0.3222164,0.33349653,0.32123706
Education,age0_3,Age 0 to 3,0,"Bradenton-Sarasota-Venice, FL",14600,0.25443776,0.23833047,0.2449184
Education,age0_3,Age 0 to 3,0,"Bridgeport-Stamford-Norwalk, CT",14860,0.41685662,0.38027268,0.37445734
Education,age0_3,Age 0 to 3,0,"Buffalo-Niagara Falls, NY",15380,0.0921303,0.12665981,0.12004368
Education,age0_3,Age 0 to 3,0,"Charleston-North Charleston-Summerville, SC",16700,0.10040379,0.14829531,0.15246276
Education,age0_3,Age 0 to 3,0,"Charlotte-Gastonia-Concord, NC-SC",16740,0.25802609,0.24176736,0.21271767
Education,age0_3,Age 0 to 3,0,"Chattanooga, TN-GA",16860,0.09136559,0.11504008,0.11070029
Education,age0_3,Age 0 to 3,0,"Chicago-Naperville-Joliet, IL-IN-WI",16980,0.33403196,0.3321948,0.32732297
Education,age0_3,Age 0 to 3,0,"Cincinnati-Middletown, OH-KY-IN",17140,0.07980214,0.08938241,0.09140362
Education,age0_3,Age 0 to 3,0,"Cleveland-Elyria-Mentor, OH",17460,0.1065045,0.0933607,0.08350322
Education,age0_3,Age 0 to 3,0,"Colorado Springs, CO",17820,0.13124048,0.13829976,0.1622861
Education,age0_3,Age 0 to 3,0,"Columbia, SC",17900,0.11889514,0.10512631,0.08823873
Education,age0_3,Age 0 to 3,0,"Columbus, OH",18140,0.13426041,0.15094073,0.16436625
Education,age0_3,Age 0 to 3,0,"Dallas-Fort Worth-Arlington, TX",19100,0.36473132,0.36954893,0.3638037
Education,age0_3,Age 0 to 3,0,"Dayton, OH",19380,0.05104911,0.05854704,0.07268546
Education,age0_3,Age 0 to 3,0,"Denver-Aurora-Broomfield, CO",19740,0.2855166,0.28472089,0.26487965
Education,age0_3,Age 0 to 3,0,"Des Moines-West Des Moines, IA",19780,0.17301455,0.17983232,0.15975452
Education,age0_3,Age 0 to 3,0,"Detroit-Warren-Livonia, MI",19820,0.16425583,0.16468623,0.16924219
Education,age0_3,Age 0 to 3,0,"El Paso, TX",21340,0.38954166,0.40263639,0.3867178
Education,age0_3,Age 0 to 3,0,"Fresno, CA",23420,0.42652166,0.45658307,0.43205014
Education,age0_3,Age 0 to 3,0,"Grand Rapids-Wyoming, MI",24340,0.11889485,0.11269342,0.1314526
Education,age0_3,Age 0 to 3,0,"Greensboro-High Point, NC",24660,0.20477052,0.19430198,0.19012242
Education,age0_3,Age 0 to 3,0,"Greenville-Mauldin-Easley, SC",24860,0.15928269,0.1442559,0.12057933
Education,age0_3,Age 0 to 3,0,"Harrisburg-Carlisle, PA",25420,0.12357292,0.11438718,0.08955514
Education,age0_3,Age 0 to 3,0,"Hartford-West Hartford-East Hartford, CT",25540,0.20249906,0.22821203,0.22512176
Education,age0_3,Age 0 to 3,0,"Honolulu, HI",26180,0.26823194,0.24451546,0.24460722
Education,age0_3,Age 0 to 3,0,"Houston-Sugar Land-Baytown, TX",26420,0.41971268,0.41669196,0.41962785
Education,age0_3,Age 0 to 3,0,"Indianapolis-Carmel, IN",26900,0.15981073,0.14521203,0.14712448
Education,age0_3,Age 0 to 3,0,"Jackson, MS",27140,0.02961976,0.05349064,0.04922761
Education,age0_3,Age 0 to 3,0,"Jacksonville, FL",27260,0.13925831,0.16066733,0.1671321
Education,age0_3,Age 0 to 3,0,"Kansas City, MO-KS",28140,0.14048221,0.14008347,0.14380679
Education,age0_3,Age 0 to 3,0,"Knoxville, TN",28940,0.07059445,0.09609852,0.10965187
Education,age0_3,Age 0 to 3,0,"Lakeland-Winter Haven, FL",29460,0.22485905,0.22585325,0.23371892
Education,age0_3,Age 0 to 3,0,"Lancaster, PA",29540,0.10265202,0.0688591,0.05681565
Education,age0_3,Age 0 to 3,0,"Lansing-East Lansing, MI",29620,0.07794827,0.09692187,0.07889364
Education,age0_3,Age 0 to 3,0,"Las Vegas-Paradise, NV",29820,0.39971034,0.41292071,0.40161391
Education,age0_3,Age 0 to 3,0,"Little Rock-North Little Rock-Conway, AR",30780,0.10680018,0.09649773,0.0766952
Education,age0_3,Age 0 to 3,0,"Los Angeles-Long Beach-Santa Ana, CA",31100,0.56787249,0.54746652,0.5311082
Education,age0_3,Age 0 to 3,0,"LouisvilleJefferson County, KY-IN",31140,0.10035272,0.12058796,0.12790449
Education,age0_3,Age 0 to 3,0,"Madison, WI",31540,0.13494308,0.14330229,0.18655068
Education,age0_3,Age 0 to 3,0,"McAllen-Edinburg-Mission, TX",32580,0.56714493,0.54245064,0.55287758
Education,age0_3,Age 0 to 3,0,"Memphis, TN-MS-AR",32820,0.13242201,0.12365605,0.12510289
Education,age0_3,Age 0 to 3,0,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,0.54164559,0.52930556,0.53657919
Education,age0_3,Age 0 to 3,0,"Milwaukee-Waukesha-West Allis, WI",33340,0.16365396,0.16559966,0.15380128
Education,age0_3,Age 0 to 3,0,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,0.22355729,0.22791409,0.23281405
Education,age0_3,Age 0 to 3,0,"Modesto, CA",33700,0.40674618,0.37092553,0.32576957
Education,age0_3,Age 0 to 3,0,"Nashville-Davidson-Murfreesboro-Franklin, TN",34980,0.19607393,0.18533866,0.16978206
Education,age0_3,Age 0 to 3,0,"New Haven-Milford, CT",35300,0.24187978,0.22726806,0.25049141
Education,age0_3,Age 0 to 3,0,"New Orleans-Metairie-Kenner, LA",35380,0.11512687,0.11794041,0.10599119
Education,age0_3,Age 0 to 3,0,"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,0.44715581,0.44538571,0.44006441
Education,age0_3,Age 0 to 3,0,"Oklahoma City, OK",36420,0.16043443,0.15936528,0.18153801
